Lower Tier Local Authority,month,October,November,December,Population,log_pop,case_rate,log_case_rate,min,max,precipitation,temperature,wind,humidity,region,East_Midlands,East_of_England,London,North_East,North_West,South_East,South_West,West_Midlands,Yorkshire_and_the_Humber
Amber Valley ,October,1,0,0,480,2.681241237,231.8,5.445874931,8,14,36.5,11,17,0.82,East Midlands,1,0,0,0,0,0,0,0,0
Amber Valley ,November,0,1,0,480,2.681241237,387.6,5.95997388,4,10,29.9,7,17,0.86,East Midlands,1,0,0,0,0,0,0,0,0
Amber Valley ,December,0,0,1,480,2.681241237,309.8,5.735926928,2,7,29.5,5,18,0.86,East Midlands,1,0,0,0,0,0,0,0,0
Ashford ,October,1,0,0,16.7,1.222716471,166.9,5.117394831,9,16,94,13,18,0.87,South East,0,0,0,0,0,1,0,0,0
Ashford ,November,0,1,0,16.7,1.222716471,424.1,6.049969276,6,12,107.5,9,21,0.88,South East,0,0,0,0,0,1,0,0,0
Ashford ,December,0,0,1,16.7,1.222716471,842.9,6.736848327,4,10,103.4,7,23,0.83,South East,0,0,0,0,0,1,0,0,0
Bedford ,October,1,0,0,542,2.733999287,114.1,4.737075257,10,15,40.8,12,18,0.86,East of England,0,1,0,0,0,0,0,0,0
Bedford ,November,0,1,0,542,2.733999287,498,6.210600077,6,10,46.5,8,19,0.9,East of England,0,1,0,0,0,0,0,0,0
Bedford ,December,0,0,1,542,2.733999287,618,6.426488457,3,7,47.8,5,20,0.87,East of England,0,1,0,0,0,0,0,0,0
Bexley ,October,1,0,0,4100,3.612783857,106.7,4.670021158,9,16,61.5,13,13,0.79,London,0,0,1,0,0,0,0,0,0
Bexley ,November,0,1,0,4100,3.612783857,397.7,5.985697952,6,12,72,9,14,0.84,London,0,0,1,0,0,0,0,0,0
Bexley ,December,0,0,1,4100,3.612783857,1020.9,6.92843987,3,9,65.1,6,15,0.81,London,0,0,1,0,0,0,0,0,0
Birmingham ,October,1,0,0,4200,3.62324929,255.9,5.544786743,7,14,31.9,11,14,0.84,West Midlands,0,0,0,0,0,0,0,1,0
Birmingham ,November,0,1,0,4200,3.62324929,386.1,5.956096403,4,10,31.5,7,13,0.84,West Midlands,0,0,0,0,0,0,0,1,0
Birmingham ,December,0,0,1,4200,3.62324929,321.1,5.771752601,2,8,27.9,5,14,0.88,West Midlands,0,0,0,0,0,0,0,1,0
Bolton ,October,1,0,0,1200,3.079181246,528.6,6.270232002,7,14,46.1,11,15,0.83,North West,0,0,0,0,1,0,0,0,0
Bolton ,November,0,1,0,1200,3.079181246,363.1,5.894678278,4,10,35.8,7,15,0.84,North West,0,0,0,0,1,0,0,0,0
Bolton ,December,0,0,1,1200,3.079181246,160.7,5.079539273,2,8,37.4,5,15,0.86,North West,0,0,0,0,1,0,0,0,0
Brighton and Hove ,October,1,0,0,5304,3.724603515,126.5,4.840242308,9,15,45.4,12,19,0.83,South East,0,0,0,0,0,1,0,0,0
Brighton and Hove ,November,0,1,0,5304,3.724603515,325.7,5.785976712,6,11,42.5,9,19,0.84,South East,0,0,0,0,0,1,0,0,0
Brighton and Hove ,December,0,0,1,5304,3.724603515,301.5,5.708770016,4,9,43.1,6,20,0.87,South East,0,0,0,0,0,1,0,0,0
Bristol,October,1,0,0,4022,3.604442066,292,5.676753802,9,15,61.2,12,16,0.83,South West,0,0,0,0,0,0,1,0,0
Bristol,November,0,1,0,4022,3.604442066,426.2,6.05490872,6,11,74.3,8,18,0.84,South West,0,0,0,0,0,0,1,0,0
Bristol,December,0,0,1,4022,3.604442066,193.4,5.264760583,4,8,73.8,6,18,0.88,South West,0,0,0,0,0,0,1,0,0
Calderdale ,October,1,0,0,575,2.759667845,400.6,5.992963423,7,12,40.4,9,16,0.87,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
Calderdale ,November,0,1,0,575,2.759667845,397.5,5.985194934,4,8,43,6,17,0.84,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
Calderdale ,December,0,0,1,575,2.759667845,175,5.164785974,2,6,43.8,4,18,0.9,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
Canterbury ,October,1,0,0,15,1.176091259,138.6,4.931592087,6,18,34.2,12,19,0.84,South East,0,0,0,0,0,1,0,0,0
Canterbury ,November,0,1,0,15,1.176091259,499.8,6.214208018,4,11,29,7,19,0.84,South East,0,0,0,0,0,1,0,0,0
Canterbury ,December,0,0,1,15,1.176091259,632.4,6.449522105,2,8,31.2,5,20,0.87,South East,0,0,0,0,0,1,0,0,0
Carlisle ,October,1,0,0,65,1.812913357,229.1,5.434158589,8,13,81.5,10,15,0.83,North West,0,0,0,0,1,0,0,0,0
Carlisle ,November,0,1,0,65,1.812913357,450.6,6.110580028,5,9,68.3,7,14,0.84,North West,0,0,0,0,1,0,0,0,0
Carlisle ,December,0,0,1,65,1.812913357,331.3,5.803024309,3,7,79.5,5,15,0.87,North West,0,0,0,0,1,0,0,0,0
Corby ,October,1,0,0,899.5,2.954001168,133.9,4.897093253,5,14,37.3,9,17,0.84,East Midlands,1,0,0,0,0,0,0,0,0
Corby ,November,0,1,0,899.5,2.954001168,401.6,5.995456568,3,10,37.8,6,17,0.84,East Midlands,1,0,0,0,0,0,0,0,0
Corby ,December,0,0,1,899.5,2.954001168,211.9,5.356114465,1,7,27.5,4,19,0.88,East Midlands,1,0,0,0,0,0,0,0,0
County Durham ,October,1,0,0,237,2.374748346,311.1,5.740114404,7,13,33.2,10,13,0.84,North East,0,0,0,1,0,0,0,0,0
County Durham ,November,0,1,0,237,2.374748346,386.9,5.958166262,4,9,26.6,6,14,0.84,North East,0,0,0,1,0,0,0,0,0
County Durham ,December,0,0,1,237,2.374748346,263.7,5.574812093,2,7,22.9,4,15,0.86,North East,0,0,0,1,0,0,0,0,0
Coventry ,October,1,0,0,3408,3.532499586,207,5.332718793,8,14,26.8,11,15,0.83,West Midlands,0,0,0,0,0,0,0,1,0
Coventry ,November,0,1,0,3408,3.532499586,359.9,5.885826215,4,10,25.3,7,14,0.84,West Midlands,0,0,0,0,0,0,0,1,0
Coventry ,December,0,0,1,3408,3.532499586,256.8,5.548297572,2,8,21.6,5,15,0.88,West Midlands,0,0,0,0,0,0,0,1,0
Darlington ,October,1,0,0,4680.81,3.670321013,301.5,5.708770016,7,14,32,10,18,0.83,North East,0,0,0,1,0,0,0,0,0
Darlington ,November,0,1,0,4680.81,3.670321013,409.8,6.015669236,4,10,29.1,7,18,0.84,North East,0,0,0,1,0,0,0,0,0
Darlington ,December,0,0,1,4680.81,3.670321013,237.8,5.471429984,2,7,28.7,5,19,0.86,North East,0,0,0,1,0,0,0,0,0
Derby ,October,1,0,0,3028,3.481155871,251.8,5.528635122,8,14,36.5,11,17,0.82,East Midlands,1,0,0,0,0,0,0,0,0
